iter	Passed	Remaining
0	84	17047
1	86	8682
2	88	5892
3	90	4509
4	92	3664
5	94	3098
6	96	2693
7	97	2387
8	99	2150
9	101	1963
10	103	1807
11	105	1678
12	107	1567
13	109	1474
14	110	1390
15	112	1319
16	114	1255
17	116	1198
18	118	1147
19	120	1101
20	122	1059
21	124	1021
22	126	986
23	127	953
24	129	923
25	131	895
26	133	869
27	135	847
28	137	825
29	139	804
30	141	785
31	143	766
32	145	748
33	147	731
34	149	715
35	151	701
36	153	686
37	154	672
38	156	659
39	158	646
40	160	634
41	162	623
42	164	612
43	166	601
44	168	591
45	170	581
46	172	571
47	174	562
48	176	554
49	178	545
50	180	537
51	182	529
52	184	522
53	186	514
54	188	506
55	190	499
56	192	492
57	194	485
58	196	479
59	198	472
60	200	466
61	202	460
62	204	453
63	206	447
64	207	441
65	209	435
66	211	429
67	213	423
68	215	418
69	217	412
70	218	406
71	220	401
72	222	396
73	224	390
74	226	385
75	227	380
76	229	375
77	231	371
78	233	366
79	235	361
80	236	356
81	238	352
82	240	347
83	242	343
84	244	338
85	245	334
86	247	330
87	249	325
88	251	321
89	252	317
90	254	313
91	256	309
92	258	305
93	260	301
94	262	298
95	263	294
96	265	290
97	267	286
98	269	282
99	271	279
100	272	275
101	274	272
102	276	268
103	278	264
104	280	261
105	281	257
106	283	254
107	285	251
108	287	247
109	288	244
110	290	241
111	292	237
112	294	234
113	296	231
114	298	228
115	299	224
116	301	221
117	303	218
118	305	215
119	307	212
120	308	209
121	310	206
122	312	203
123	314	200
124	316	197
125	317	194
126	319	191
127	321	188
128	323	185
129	324	182
130	326	179
131	328	176
132	330	173
133	332	171
134	333	168
135	335	165
136	337	162
137	339	159
138	341	157
139	342	154
140	344	151
141	346	148
142	348	146
143	349	143
144	351	140
145	353	138
146	355	135
147	357	132
148	358	130
149	360	127
150	362	124
151	364	122
152	365	119
153	367	116
154	369	114
155	371	111
156	372	109
157	374	106
158	376	104
159	378	101
160	379	99
161	381	96
162	383	94
163	385	91
164	387	89
165	388	86
166	390	84
167	392	81
168	394	79
169	396	76
170	398	74
171	399	72
172	401	69
173	403	67
174	405	64
175	407	62
176	408	60
177	410	57
178	412	55
179	414	52
180	416	50
181	417	48
182	419	45
183	421	43
184	423	41
185	425	38
186	427	36
187	429	34
188	431	31
189	433	29
190	434	27
191	436	25
192	438	22
193	440	20
194	442	18
195	444	15
196	446	13
197	447	11
198	449	9
199	451	6
200	453	4
201	455	2
202	457	0
